System_Name,Branch_Name,City ,Lat,Lon
Oshawa Public Libraries,Northview Branch,Oshawa,43.930174,-78.86765
Pickering Public Library,Claremont Library Branch,Pickering,43.970346,-79.12844815
Pickering Public Library,George Ashe Library,Pickering,43.812406,-79.125105
Pickering Public Library,George Ashe Community Centre,Pickering,43.812701,-79.12573982
Pickering Public Library,Pickering Central Library,Pickering,43.837417,-79.08352846
Fraser Valley Regional Library,Abbotsford Community Library,Abbotsford,49.055028,-122.328655
Fraser Valley Regional Library,Agassiz Library,Agassiz,49.243554,-121.992562
Fraser Valley Regional Library,Aldergrove Library,Aldergrove,49.055541,-122.481863
Fraser Valley Regional Library,Boston Bar Library,Boston Bar,49.860949,-121.440379
Fraser Valley Regional Library,Brookswood Library,Langley,49.074725,-122.668615
Fraser Valley Regional Library,Chilliwack Library,Chilliwack,49.168253,-121.955032
Fraser Valley Regional Library,Clearbrook Library,Abbotsford,49.052125,-122.345235
Fraser Valley Regional Library,Fort Langley Library,Fort Langley,49.169014,-122.579297
Fraser Valley Regional Library,George Mackie Library,Delta,49.156793,-122.912391
Fraser Valley Regional Library,Hope Library,Hope,49.377998,-121.431461
Fraser Valley Regional Library,Ladner Pioneer Library,Delta,49.087117,-123.08266
Fraser Valley Regional Library,Langley City Library,Langley,49.103549,-122.65676
Fraser Valley Regional Library,Maple Ridge Public Library,Maple Ridge,49.22046,-122.600057
Fraser Valley Regional Library,Mission Library,Mission,49.135283,-122.303564
Fraser Valley Regional Library,Mount Lehman Library,Abbotsford,49.109047,-122.381877
Fraser Valley Regional Library,Muriel Arnason Library,Langley,49.12069,-122.656765
Fraser Valley Regional Library,Murrayville Library,Langely,49.089422,-122.612315
Fraser Valley Regional Library,Pitt Meadows Public Library,Pitt Meadows,49.221363,-122.68959
Fraser Valley Regional Library,Sardis Library,Sardis,49.10726,-121.977412
Fraser Valley Regional Library,Terry Fox Library,Port Coquitlam,49.260305,-122.778532
Fraser Valley Regional Library,Tsawwassen Library,Delta,49.026996,-123.068683
Fraser Valley Regional Library,Walnut Grove Library,Langley,49.163691,-122.640499
Fraser Valley Regional Library,White Rock Library,White Rock,49.023902,-122.796236
Fraser Valley Regional Library,Yale Library,Yale,49.56175,-121.431384
Fraser Valley Regional Library,Yarrow Library,Yarrow,49.086416,-122.052378
Greater Victoria Public Library,Langford Heritage Branch,Victoria,48.4457,-123.533998
Greater Victoria Public Library,Greater Victoria Public Central Library,Victoria,48.42369,-123.36447
Greater Victoria Public Library,Bruce Hutchison Branch,Saanich,48.500968,-123.386514
Greater Victoria Public Library,Central Saanich Branch,Central Saanich,48.576061,-123.449061
Greater Victoria Public Library,Emily Carr Branch,Saanich,48.455637,-123.372717
Greater Victoria Public Library,Esquimalt Branch,Esquimalt,48.429873,-123.409324
Greater Victoria Public Library,Juan de Fuca Branch,Colwood,48.447522,-123.465822
Greater Victoria Public Library,Nellie McClung Branch,Saanich,48.468443,-123.335387
Greater Victoria Public Library,Oak Bay Branch,Oak Bay,48.425795,-123.314091
Greater Victoria Public Library,Saanich Centennial Branch,Saanich,48.45227,-123.395259
Greater Victoria Public Library,Goudy Branch,Langford,48.448365,-123.497972
Burlington Public Library,Central,Burlington,43.335841,-79.79004621
Burlington Public Library,Alton,Burlington,43.39823,-79.81878703
Burlington Public Library,Tansley Wood,Burlington,43.382232,-79.80115726
Burlington Public Library,Appleby,Burlington,43.371363,-79.76205729
Burlington Public Library,Brant Hills,Burlington,43.361298,-79.84616006
Burlington Public Library,Kilbride,Burlington,43.427508,-79.93653405
Burlington Public Library,Aldershot,Burlington,43.32011,-79.83457955
Library and Archives Canada,Library and Archives Canada,Ottawa,45.420083,-75.707917
Oakville Public Library,Central ,Oakville,43.444367,-79.671665
Oakville Public Library,Glen Abbey,Oakville,43.435737,-79.739146
Oakville Public Library,Iroquois Ridge,Oakville,43.488136,-79.700986
Oakville Public Library,White Oaks,Oakville,43.463439,-79.701822
Oakville Public Library,Clearview,Oakville,43.501523,-79.661393
Oakville Public Library,Woodside,Oakville,43.417303,-79.698343
Oakville Public Library,Sixteen Mile,Oakville,43.466091,-79.749305
