POI Identifier;Address;Description;Name;geo_shape;geo_point_2d
3517;116 ARCH ST;Queen's University;EARL HALL;"{""type"": ""Point"", ""coordinates"": [-76.49110413871713, 44.22664277600585]}";44.226642776, -76.4911041387
3515;15 ARCH ST;Queen's University;SCHOOL OF MEDICINE;"{""type"": ""Point"", ""coordinates"": [-76.49138799011577, 44.22518481705408]}";44.2251848171, -76.4913879901
1721;28 DIVISION ST;Queen's University;SCHOOL OF KINESIOLOGY & HEALTH STUDIES;"{""type"": ""Point"", ""coordinates"": [-76.49338135944274, 44.228686564372985]}";44.2286865644, -76.4933813594
3545;32 GEORGE ST;Queen's University;MUSEUM OF HEALTH CARE;"{""type"": ""Point"", ""coordinates"": [-76.49239546401347, 44.22375823819094]}";44.2237582382, -76.492395464
3486;3766 HWY 15;Penitentiary;JOYCEVILLE INSTITUTION (FARM);"{""type"": ""Point"", ""coordinates"": [-76.34450100841279, 44.354549559641754]}";44.3545495596, -76.3445010084
3487;485 BOXWOOD ST;Playground;LOMBARDY PARK;"{""type"": ""Point"", ""coordinates"": [-76.58788823096377, 44.238687865957885]}";44.238687866, -76.587888231
3493;773 HWY 15;Soccer Field;LA SALLE HS FRONT BASKETBALL COURT;"{""type"": ""Point"", ""coordinates"": [-76.45932120069803, 44.25266125911816]}";44.2526612591, -76.4593212007
884;116 CENTRE ST;Place of Worship;BETH ISRAEL CONGREGATION;"{""type"": ""Point"", ""coordinates"": [-76.50523618679732, 44.22535603066218]}";44.2253560307, -76.5052361868
893;2245 BATTERSEA RD;Place of Worship;CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS;"{""type"": ""Point"", ""coordinates"": [-76.46332289031544, 44.32097537749075]}";44.3209753775, -76.4633228903
902;326 ALFRED ST;Place of Worship;KINGSTON CITADEL;"{""type"": ""Point"", ""coordinates"": [-76.49789086295253, 44.23480742562369]}";44.2348074256, -76.497890863
903;5307 15 HWY;Place of Worship;ST. BARNABY CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.30431349210936, 44.41622634775015]}";44.4162263478, -76.3043134921
905;310 KINGSCOURT AVE;Place of Worship;FIRST CHRISTIAN REFORMED CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.50268110318095, 44.252033325454256]}";44.2520333255, -76.5026811032
927;2647 38 HWY;Place of Worship;KINGSTON CHRISTIAN FELLOWSHIP CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.61439845751494, 44.31497386158215]}";44.3149738616, -76.6143984575
871;446 COLLEGE ST;Place of Worship;CHURCH OF CHRIST - KINGSTON;"{""type"": ""Point"", ""coordinates"": [-76.51072655458658, 44.23687971472331]}";44.2368797147, -76.5107265546
4576;706 FORTUNE CR;Ambulance Station;FRONTENAC PARAMEDIC SERVICES STATION 5;"{""type"": ""Point"", ""coordinates"": [-76.5650412435401, 44.273999720301255]}";44.2739997203, -76.5650412435
1845;666 JUSTUS DR;Ambulance Station;FRONTENAC PARAMEDIC SERVICES STATION 2;"{""type"": ""Point"", ""coordinates"": [-76.57125161919217, 44.244850103917166]}";44.2448501039, -76.5712516192
3739;179 RAILWAY ST;;TUGWOOD PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.49480054147094, 44.24839618634357]}";44.2483961863, -76.4948005415
1843;250 PALACE RD;Ambulance Station;FRONTENAC PARAMEDIC SERVICES STATION 1;"{""type"": ""Point"", ""coordinates"": [-76.51391241670409, 44.2313306916094]}";44.2313306916, -76.5139124167
4578;1665 HWY 15;Ambulance Station;FRONTENAC PARAMEDIC SERVICES STATION 3;"{""type"": ""Point"", ""coordinates"": [-76.43148287217993, 44.285711992637594]}";44.2857119926, -76.4314828722
4579;HWY 15/INNOVATION DR;Trail Access;GREENWOOD PARK TRAIL;"{""type"": ""Point"", ""coordinates"": [-76.44674628405231, 44.272339900874144]}";44.2723399009, -76.4467462841
4582;1324 FIELDSTONE DR;Trail Access;GREENWOOD PARK TRAIL;"{""type"": ""Point"", ""coordinates"": [-76.43699592368804, 44.27119445677071]}";44.2711944568, -76.4369959237
4584;637 FIELDSTONE DR;Trail Access;GREENWOOD PARK TRAIL;"{""type"": ""Point"", ""coordinates"": [-76.44256714722275, 44.26626518502725]}";44.266265185, -76.4425671472
4586;523 FIELDSTONE DR;Trail Access;GREENWOOD PARK TRAIL;"{""type"": ""Point"", ""coordinates"": [-76.44404301850182, 44.262375680431006]}";44.2623756804, -76.4440430185
3730;382 BAGOT ST;Athletic Centre;ARTILLERY PARK RECREATION CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.48413059214948, 44.234486864294944]}";44.2344868643, -76.4841305921
187;588 TANNER DR;Playground;ARBOUR RIDGE PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.55499634847386, 44.24125140996695]}";44.24125141, -76.5549963485
495;1180 WOODBINE RD;Soccer Field;WOODBINE PARK SOCCER FIELD 4;"{""type"": ""Point"", ""coordinates"": [-76.60360568028229, 44.26082702305354]}";44.2608270231, -76.6036056803
461;1180 WOODBINE RD;Soccer Field;WOODBINE PARK SOCCER FIELD 1;"{""type"": ""Point"", ""coordinates"": [-76.60184782303713, 44.25953858553949]}";44.2595385855, -76.601847823
241;1280 COVERDALE DR;Playground;ROTARY PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.60577407078317, 44.237882395123286]}";44.2378823951, -76.6057740708
428;1805 2 HWY;Basketball Court;;"{""type"": ""Point"", ""coordinates"": [-76.37508960283243, 44.264596017473856]}";44.2645960175, -76.3750896028
3892;CATARAQUI CEMETERY;Trail Access;RIDEAU TRAIL CATARAQUI CEMETARY RD ACCESS PNT;"{""type"": ""Point"", ""coordinates"": [-76.54404384316118, 44.26803044922162]}";44.2680304492, -76.5440438432
3753;36 ELMWOOD ST;Community Garden;ELMWOOD COMMUNITY GARDEN;"{""type"": ""Point"", ""coordinates"": [-76.52138601400766, 44.241237303801455]}";44.2412373038, -76.521386014
3695;663 MONTREAL ST;Trail Access;K&P MONTREAL ST TRAIL ACCESS PNT;"{""type"": ""Point"", ""coordinates"": [-76.48649818061926, 44.24857672566729]}";44.2485767257, -76.4864981806
3893;BULLEN RD;Trail Access;RIDEAU TRAIL BULLEN RD ACCESS PNT;"{""type"": ""Point"", ""coordinates"": [-76.55471146331894, 44.29135975029912]}";44.2913597503, -76.5547114633
3696;18 ST REMY PL;Trail Access;K&P ELLIOTT AV TRAIL ACCESS PNT;"{""type"": ""Point"", ""coordinates"": [-76.49214266615976, 44.25676027827603]}";44.2567602783, -76.4921426662
1666;21 COLLINGWOOD ST;Queen's University;GORDON-BROCKINGTON HALL;"{""type"": ""Point"", ""coordinates"": [-76.50077007557788, 44.2231969826946]}";44.2231969827, -76.5007700756
3495;711 DALTON AV;Cultural Centre;CENTRE CULTUREL FRONTENAC;"{""type"": ""Point"", ""coordinates"": [-76.52312977529861, 44.27102964706285]}";44.2710296471, -76.5231297753
1063;1660 JOHN COUNTER BLVD;Park;WILLIAM J. HACKETT PARK;"{""type"": ""Point"", ""coordinates"": [-76.52854450637736, 44.25781505892496]}";44.2578150589, -76.5285445064
1669;85 STUART ST;Queen's University;THEOLOGICAL HALL;"{""type"": ""Point"", ""coordinates"": [-76.49362808373742, 44.22562622053727]}";44.2256262205, -76.4936280837
2086;46 HEAKES LANE;Ball Diamond;PCCC BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.52542158426505, 44.21456098664543]}";44.2145609866, -76.5254215843
1657;23 ALBERT ST;Queen's University;WATTS HALL;"{""type"": ""Point"", ""coordinates"": [-76.49934275470996, 44.2241680134093]}";44.2241680134, -76.4993427547
3551;125 BROCK St;Hotel / Motel;QUEEN'S INN;"{""type"": ""Point"", ""coordinates"": [-76.48372995592031, 44.23106562399445]}";44.231065624, -76.4837299559
1895;2 PRINCESS ST;Parking Lot;HOLIDAY INN;"{""type"": ""Point"", ""coordinates"": [-76.47839733807565, 44.23075620963935]}";44.2307562096, -76.4783973381
1281;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.30997160807004, 44.29189295859711]}";44.2918929586, -76.3099716081
1494;130 JOHNSON ST;Library;KINGSTON FRONTENAC LIBRARY - CENTRAL BRANCH;"{""type"": ""Point"", ""coordinates"": [-76.48479883219312, 44.22969849840287]}";44.2296984984, -76.4847988322
788;120 NORMAN ROGERS DR;Education Facility;CENTENNIAL PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.51976524482801, 44.23157436883723]}";44.2315743688, -76.5197652448
3157;1875 BATH RD;Post Office;POST OFFICE (SHOPPERS DRUG MART #0608);"{""type"": ""Point"", ""coordinates"": [-76.58235877857001, 44.236884308556455]}";44.2368843086, -76.5823587786
787;530 EARL ST;Education Facility;WINSTON CHURCHILL PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.50398702185176, 44.229268644518974]}";44.2292686445, -76.5039870219
118;370 KING ST;Monument;ATLANTIC SCULPTURE;"{""type"": ""Point"", ""coordinates"": [-76.5062121666473, 44.22003093484718]}";44.2200309348, -76.5062121666
1259;416 MCCALLUM DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.45303630538604, 44.26384561446705]}";44.2638456145, -76.4530363054
1236;692 BAGOT ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48628392745692, 44.24254726059322]}";44.2425472606, -76.4862839275
1805;;Town;WESTPORT;"{""type"": ""Point"", ""coordinates"": [-76.39701822071764, 44.67804141201272]}";44.678041412, -76.3970182207
1272;;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.5174510844692, 44.219656537403445]}";44.2196565374, -76.5174510845
3288;1014 CUNNINGHAM RD;;;"{""type"": ""Point"", ""coordinates"": [-76.42174521608227, 44.30496110101512]}";44.304961101, -76.4217452161
923;130 CLERGY ST;Place of Worship;ST. ANDREW'S PRESBYTERIAN CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.48950345115256, 44.232946371483656]}";44.2329463715, -76.4895034512
2868;6 CATARAQUI ST;News Paper;THE KINGSTON WHIG STANDARD;"{""type"": ""Point"", ""coordinates"": [-76.48127509999597, 44.241731561913554]}";44.2417315619, -76.4812751
2007;303 YORK ST;Washroom;KINGSTON MEMORIAL CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.49939679596984, 44.239510012937686]}";44.2395100129, -76.499396796
975;400 GORE RD;Park;BUTTERNUT CREEK NATURE PARK;"{""type"": ""Point"", ""coordinates"": [-76.44308084973302, 44.26244843208898]}";44.2624484321, -76.4430808497
1840;1180 WOODBINE RD;Outdoor Rink;WOODBINE PARK;"{""type"": ""Point"", ""coordinates"": [-76.60375523811999, 44.25958876470539]}";44.2595887647, -76.6037552381
1753;75 PRINCESS ST;Gallery;FIRE WORKS GLASS;"{""type"": ""Point"", ""coordinates"": [-76.48162534936783, 44.23161232405099]}";44.2316123241, -76.4816253494
1367;1180 WOODBINE RD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.60517836709425, 44.26010302554721]}";44.2601030255, -76.6051783671
1372;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.31057691003116, 44.2918603396671]}";44.2918603397, -76.31057691
1782;22 GENERAL CRERAR CRES;Running Track;ROYAL MILITARY COLLEGE OF CANADA;"{""type"": ""Point"", ""coordinates"": [-76.46864247795577, 44.229430061634865]}";44.2294300616, -76.468642478
1780;1085 WOODBINE RD;Running Track;HOLY CROSS SECONDARY SCHOOL TRACK;"{""type"": ""Point"", ""coordinates"": [-76.59662416681508, 44.25723979328616]}";44.2572397933, -76.5966241668
1827;346 COLLEGE ST;Outdoor Rink;COMPTON PARK OUTDOOR RINK;"{""type"": ""Point"", ""coordinates"": [-76.51068301831798, 44.23471643097901]}";44.234716431, -76.5106830183
730;487 BROCK ST;Change Room;VICTORIA PARK;"{""type"": ""Point"", ""coordinates"": [-76.49898078823698, 44.23312714859834]}";44.2331271486, -76.4989807882
1188;1180 WOODBINE RD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.60541585910892, 44.25924225382378]}";44.2592422538, -76.6054158591
1186;36 ELMWOOD ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.52150706324507, 44.2412322025604]}";44.2412322026, -76.5215070632
1816;;Town;NEWBURGH;"{""type"": ""Point"", ""coordinates"": [-76.89162282058938, 44.33348075859462]}";44.3334807586, -76.8916228206
1819;;Town;CARDINAL;"{""type"": ""Point"", ""coordinates"": [-75.38301864035185, 44.78804120235777]}";44.7880412024, -75.3830186404
1796;;Town;ODESSA;"{""type"": ""Point"", ""coordinates"": [-76.70865345017218, 44.28030272078227]}";44.2803027208, -76.7086534502
1799;;Town;ARDEN;"{""type"": ""Point"", ""coordinates"": [-76.9231379649249, 44.723980301269556]}";44.7239803013, -76.9231379649
1664;244 SIR JOHN A. MACDONALD BLVD;Queen's University;JOHN ORR TOWER;"{""type"": ""Point"", ""coordinates"": [-76.51450626244511, 44.22597556439012]}";44.2259755644, -76.5145062624
4594;VENTURE DR;Trail Access;CATARAQUI ESTATES BP TRAIL ACCESS;"{""type"": ""Point"", ""coordinates"": [-76.56385836926538, 44.27195447092501]}";44.2719544709, -76.5638583693
1772;370 KINGSTON MILLS RD;Running Track;HOLY NAME ES TRACK;"{""type"": ""Point"", ""coordinates"": [-76.42457855639474, 44.30144819936096]}";44.3014481994, -76.4245785564
1310;792 HENDERSON BLVD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.57774054475263, 44.22888107852585]}";44.2288810785, -76.5777405448
1288;68 CLARENCE ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48263384673183, 44.229737868365575]}";44.2297378684, -76.4826338467
1325;434 MCEWEN DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.57150386908022, 44.23153815536274]}";44.2315381554, -76.5715038691
1290;4140 BATH RD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.61784636088086, 44.23721749513883]}";44.2372174951, -76.6178463609
1318;64 DRENNAN ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48435115397311, 44.26030201975797]}";44.2603020198, -76.484351154
1963;920 KING ST;Drink Fountain;;"{""type"": ""Point"", ""coordinates"": [-76.53156247866325, 44.21685391128395]}";44.2168539113, -76.5315624787
1317;2 NORTH ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.480688064961, 44.23843136817]}";44.2384313682, -76.480688065
4589;562 FREEMAN CRES;Trail Access;GREENWOOD PARK TRAIL;"{""type"": ""Point"", ""coordinates"": [-76.44671757452947, 44.269824613431055]}";44.2698246134, -76.4467175745
1517;211 GORE RD;Fire Station;FIRE STATION 3;"{""type"": ""Point"", ""coordinates"": [-76.45823357100474, 44.25882907066553]}";44.2588290707, -76.458233571
1385;153 ROBERT WALLACE DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.52975008715599, 44.235902152206805]}";44.2359021522, -76.5297500872
1379;900 HENDERSON BLVD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.58278278268601, 44.22846587551639]}";44.2284658755, -76.5827827827
1393;199 WILSON ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.4851858340482, 44.26331635512662]}";44.2633163551, -76.485185834
1390;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.31110506736906, 44.292829668647855]}";44.2928296686, -76.3111050674
2928;;;HELIPAD;"{""type"": ""Point"", ""coordinates"": [-76.49318707257979, 44.222157492837916]}";44.2221574928, -76.4931870726
821;361 ROOSEVELT DR;Education Facility;J. R. HENDERSON PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.57523654020163, 44.229069807427244]}";44.2290698074, -76.5752365402
398;417 MONTREAL ST;Recreation Facility;COOK BROTHERS YOUTH CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.48714203050865, 44.24335783046261]}";44.2433578305, -76.4871420305
820;25 MARKLAND ST;Education Facility;MULBERRY WALDORF SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.48685316792735, 44.23847898800144]}";44.238478988, -76.4868531679
247;205 DOUGLAS AVE;Playground;CHAMPLAIN PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.50391201600947, 44.25396604334989]}";44.2539660433, -76.503912016
3547;2991 2 HWY;Boat Ramp;GRASS CREEK PARK (BOAT RAMP);"{""type"": ""Point"", ""coordinates"": [-76.31290444227119, 44.29495603546609]}";44.2949560355, -76.3129044423
245;388 MACK ST;Playground;ELDER PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.51238570684676, 44.23365058502113]}";44.233650585, -76.5123857068
238;301 JOHNSON ST;Playground;ECOLE CATHEDRAL;"{""type"": ""Point"", ""coordinates"": [-76.49062630815355, 44.2311916813048]}";44.2311916813, -76.4906263082
225;487 BROCK ST;Playground;VICTORIA PARK;"{""type"": ""Point"", ""coordinates"": [-76.49844903897576, 44.23392249056744]}";44.2339224906, -76.498449039
3148;136 PRINCESS ST;Post Office;POST OFFICE (SHOPPERS DRUG MART #0607);"{""type"": ""Point"", ""coordinates"": [-76.48403923529409, 44.231555684616275]}";44.2315556846, -76.4840392353
456;20 CRANBROOK ST;Soccer Field;OUR LADY OF LOURDES ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.57017156636036, 44.22074626832094]}";44.2207462683, -76.5701715664
415;140 RIDEAU ST;Basketball Court;RIVERVIEW PARK BASKETBALL COURT 1;"{""type"": ""Point"", ""coordinates"": [-76.48315260757174, 44.23753038237878]}";44.2375303824, -76.4831526076
446;2252 BATTERSEA RD;Basketball Court;GLENBURNIE PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.46090940626975, 44.32066086816516]}";44.3206608682, -76.4609094063
450;535 UNION ST;Soccer Field;QUEEN'S UNIVERSITY - WEST CAMPUS;"{""type"": ""Point"", ""coordinates"": [-76.51633192329757, 44.22760460793225]}";44.2276046079, -76.5163319233
444;2100 UNITY RD;Basketball Court;ELGINBURG PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.54027616946212, 44.319757208458554]}";44.3197572085, -76.5402761695
1640;140 RIDEAU ST;Tennis Court;RIVERVIEW PARK TENNIS COURT 2;"{""type"": ""Point"", ""coordinates"": [-76.48308613200614, 44.23746181589015]}";44.2374618159, -76.483086132
420;201 CONACHER DR;Basketball Court;MARKERS ACRES PARK;"{""type"": ""Point"", ""coordinates"": [-76.48939456561438, 44.26631107211367]}";44.2663110721, -76.4893945656
471;1340 BIRCHWOOD DR;Soccer Field;BIRCHWOOD PARK;"{""type"": ""Point"", ""coordinates"": [-76.57730389020055, 44.27145652738415]}";44.2714565274, -76.5773038902
1036;444 KINGSDALE AVE;Park;MEADOWBROOK PARK;"{""type"": ""Point"", ""coordinates"": [-76.54431462654021, 44.246734681945036]}";44.2467346819, -76.5443146265
520;900 HENDERSON BLVD;Soccer Field;JIM BEATTIE PARK (MINI SOCCER FIELD 1);"{""type"": ""Point"", ""coordinates"": [-76.58237200424631, 44.22944841040806]}";44.2294484104, -76.5823720042
4598;2295 PRINCESS ST;Park and Ride;KINGSTON GOSPEL TEMPLE PARK AND RIDE;"{""type"": ""Point"", ""coordinates"": [-76.54827337352282, 44.25774466130125]}";44.2577446613, -76.5482733735
3500;216 ONTARIO ST;Historic Site;KINGSTON CITY HALL (HISTORIC SITE);"{""type"": ""Point"", ""coordinates"": [-76.4807695355609, 44.23004891823396]}";44.2300489182, -76.4807695356
537;704 MILFORD DR;Soccer Field;ASHTON PARK SOCCER FIELD 1;"{""type"": ""Point"", ""coordinates"": [-76.58069717782156, 44.24595408538809]}";44.2459540854, -76.5806971778
500;56 FRANCIS ST;Soccer Field;PORTSMOUTH SOCCER FIELDS 1;"{""type"": ""Point"", ""coordinates"": [-76.52195723095724, 44.2259437762318]}";44.2259437762, -76.521957231
937;216 ONTARIO ST;Museum;KINGSTON CITY HALL (MUSEUM);"{""type"": ""Point"", ""coordinates"": [-76.48024085586206, 44.2301067575366]}";44.2301067575, -76.4802408559
3195;141 KING ST E;Hotel / Motel;HOTEL BELVEDERE;"{""type"": ""Point"", ""coordinates"": [-76.48548816264656, 44.22524574159586]}";44.2252457416, -76.4854881626
65;623 KING ST;Monument;UNSPECIFIED MONUMENT;"{""type"": ""Point"", ""coordinates"": [-76.51730301538218, 44.22108894685047]}";44.2210889469, -76.5173030154
56;692 BAGOT ST;Monument;MEGAFFIN MONUMENT;"{""type"": ""Point"", ""coordinates"": [-76.48714663930792, 44.24304797668965]}";44.2430479767, -76.4871466393
3199;;RMC;HEWETT HOUSE;"{""type"": ""Point"", ""coordinates"": [-76.46938190253294, 44.2339485323911]}";44.2339485324, -76.4693819025
316;19 CRERAR BLVD;Ball Diamond;R G SINCLAIR PUBLIC SCHOOL BASEBALL FIELD 1;"{""type"": ""Point"", ""coordinates"": [-76.56936107375789, 44.215939215393156]}";44.2159392154, -76.5693610738
321;4075 BATH RD;Ball Diamond;COLLINS BAY PUBLIC SCHOOL BASEBALL FIELD 2;"{""type"": ""Point"", ""coordinates"": [-76.61217331744157, 44.242137007480935]}";44.2421370075, -76.6121733174
472;480 PORTSMOUTH AVE;Soccer Field;MCCULLOUGH SOCCER FIELD (NORTH);"{""type"": ""Point"", ""coordinates"": [-76.53021106952406, 44.23705857798567]}";44.237058578, -76.5302110695
481;41 GRENADIER DR;Soccer Field;GRENADIER PARK MINI SOCCER FIELD 1;"{""type"": ""Point"", ""coordinates"": [-76.45578510925847, 44.25481278402429]}";44.254812784, -76.4557851093
480;750 INNOVATION DR;Soccer Field;J. MACHEN SPORTS FIELDS;"{""type"": ""Point"", ""coordinates"": [-76.43695528530182, 44.273389347685665]}";44.2733893477, -76.4369552853
310;755 BAYRIDGE DR;Ball Diamond;BAYRIDGE PARK BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.59130035004199, 44.24815864859334]}";44.2481586486, -76.59130035
306;4075 BATH RD;Ball Diamond;COLLINS BAY PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.61111233808984, 44.24220344191982]}";44.2422034419, -76.6111123381
325;1250 ACADIA DR;Ball Diamond;WESTPARK BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.59755461047179, 44.23573991287656]}";44.2357399129, -76.5975546105
313;51 SUTHERLAND DR;Ball Diamond;SUTHERLAND DRIVE PARK;"{""type"": ""Point"", ""coordinates"": [-76.47748598204505, 44.269025097085816]}";44.2690250971, -76.477485982
304;303 YORK ST;Ball Diamond;KMC BASEBALL FIELD 2;"{""type"": ""Point"", ""coordinates"": [-76.50031471174444, 44.240912663611645]}";44.2409126636, -76.5003147117
280;251 MCMAHON AVE;Playground;LORD STRATHCONA PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52204269499488, 44.250283055740425]}";44.2502830557, -76.522042695
270;1410 SPROULE ST;Playground;HOLSGROVE PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.62091078353818, 44.26908016803959]}";44.269080168, -76.6209107835
822;9 DUNDAS ST;Education Facility;RIDEAU PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.50487059060404, 44.23543815719207]}";44.2354381572, -76.5048705906
286;98 DALGLEISH AVE;Playground;RIVERWALK PARKETTE;"{""type"": ""Point"", ""coordinates"": [-76.4497699051872, 44.26173553502256]}";44.261735535, -76.4497699052
276;219 VAN ORDER DR;Playground;LAFLEUR PARK;"{""type"": ""Point"", ""coordinates"": [-76.52385149518945, 44.239286448062764]}";44.2392864481, -76.5238514952
1267;23 ONTARIO ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48451036068616, 44.2237247083572]}";44.2237247084, -76.4845103607
4577;2069 BATTERSEA RD;Ambulance Offices;FRONTENAC PARAMEDIC SERVICES OFFICE;"{""type"": ""Point"", ""coordinates"": [-76.46540866389296, 44.313604808868796]}";44.3136048089, -76.4654086639
558;145 KIRKPATRICK ST;Soccer Field;QUEEN ELIZABETH COLLEGIATE AND VOCATIONAL INSTITUTE SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.5006899628854, 44.25401608409924]}";44.2540160841, -76.5006899629
1690;68 UNIVERSITY AVE;Queen's University;MACKINTOSH-CORRY HALL;"{""type"": ""Point"", ""coordinates"": [-76.4969191796989, 44.22688696791067]}";44.2268869679, -76.4969191797
1692;87 UNION ST;Queen's University;JOHN DEUTSCH UNIVERSITY CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.49500135483807, 44.22848756004499]}";44.22848756, -76.4950013548
1711;535 UNION ST;Queen's University;JEAN ROYCE HALL;"{""type"": ""Point"", ""coordinates"": [-76.51537178873741, 44.224295055926554]}";44.2242950559, -76.5153717887
3224;686 PRINCESS ST;;REST INN;"{""type"": ""Point"", ""coordinates"": [-76.5040334345064, 44.23763707880372]}";44.2376370788, -76.5040334345
3226;1187 PRINCESS ST;;PEACH TREE INN;"{""type"": ""Point"", ""coordinates"": [-76.521668593691, 44.24628379631068]}";44.2462837963, -76.5216685937
1912;279 WELLINGTON ST;Parking Lot;OHIP LOT;"{""type"": ""Point"", ""coordinates"": [-76.48052088429347, 44.234982323528435]}";44.2349823235, -76.4805208843
3238;444 KINGSDALE AVE;Off-Leash Dog Park;MEADOWBROOK (OFF-LEASH DOG PARK);"{""type"": ""Point"", ""coordinates"": [-76.5443195845448, 44.24730112332507]}";44.2473011233, -76.5443195845
3241;559 BAGOT ST;Childcare Facility;BOYS & GIRLS CLUB AFTER SCHOOL CONNECTION;"{""type"": ""Point"", ""coordinates"": [-76.48459684446537, 44.23939405769316]}";44.2393940577, -76.4845968445
850;35 CENTRE ST;Historic Site;BELLEVUE HOUSE NATIONAL HISTORIC SITE;"{""type"": ""Point"", ""coordinates"": [-76.50404057439502, 44.22300003617393]}";44.2230000362, -76.5040405744
878;1028 UNITY RD;Place of Worship;GLENBURNIE UNITED CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.47391368054294, 44.32149003505476]}";44.3214900351, -76.4739136805
879;588 DIVISION ST;Place of Worship;OUR LADY OF FATIMA PARISH;"{""type"": ""Point"", ""coordinates"": [-76.4965972715609, 44.24551520725878]}";44.2455152073, -76.4965972716
2973;1211 JOHN COUNTER BV;Municipal Government Facility;JCB BUILDING;"{""type"": ""Point"", ""coordinates"": [-76.5085897844267, 44.25990075435758]}";44.2599007544, -76.5085897844
3516;11 BARRIE ST;Queen's University;MACKLEM HOUSE;"{""type"": ""Point"", ""coordinates"": [-76.49064126634008, 44.2230302202975]}";44.2230302203, -76.4906412663
3546;32 GEORGE ST;Queen's University;BUNKERS;"{""type"": ""Point"", ""coordinates"": [-76.49210915864103, 44.22353139502306]}";44.223531395, -76.4921091586
3494;773 HWY 15;Soccer Field;LA SALLE HS FRONT SPORTS FIELD;"{""type"": ""Point"", ""coordinates"": [-76.45987341446117, 44.252920210833366]}";44.2529202108, -76.4598734145
3509;221 PORTSMOUTH AVE;Health Centre;KFL&A HEALTH UNIT;"{""type"": ""Point"", ""coordinates"": [-76.52508201726886, 44.22782626869579]}";44.2278262687, -76.5250820173
3982;523 PORTSMOUTH AV;Cell Antenna;523 PORTSMOUTH AV CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.5278367738863, 44.239039914625984]}";44.2390399146, -76.5278367739
3510;155 SYDENHAM ST;Hospital;HOTEL DIEU HOSPITAL HISTORIC SITE;"{""type"": ""Point"", ""coordinates"": [-76.48706377347506, 44.23090973449277]}";44.2309097345, -76.4870637735
